
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']
** get_Rfile_ascii_table_params: lline: 160 ['137', '-1634.83', '-142.8012411', '28', '20', '0.118722', '0.125553', '0.109773', '0.115640', '0.112943', '326.666']

** get_Rfile_ascii_table_params: lline: 161 ['138', '-1587.61', '47.21384559', '6', '1', '0.080713', '0.139674', '0.177170', '0.036898', '0.116030', '355.497']

** get_Rfile_ascii_table_params: lline: 162 ['139', '-1574.86', '12.75387909', '12', '23', '0.092785', '0.119529', '0.112548', '0.105365', '0.117067', '365.72']

** get_Rfile_ascii_table_params: lline: 163 ['140', '-1554.41', '20.45115082', '5', '28', '0.081081', '0.161424', '0.090745', '0.114932', '0.089290', '321.888']

** get_Rfile_ascii_table_params: lline: 164 ['141', '-1514.71', '39.69481759', '10', '12', '0.089498', '0.125342', '0.071113', '0.085177', '0.045926', '340.913']

** get_Rfile_ascii_table_params: lline: 165 ['142', '-1548.87', '-34.15760719', '10', '10', '0.091240', '0.097825', '0.123671', '0.166373', '0.133118', '364.327']

** get_Rfile_ascii_table_params: lline: 166 ['143', '-1578.56', '-29.68494841', '7', '20', '0.078448', '0.178110', '0.106136', '0.166552', '0.096329', '345.786']

** get_Rfile_ascii_table_params: lline: 167 ['144', '-1581.31', '-2.754422198', '16', '15', '0.082173', '0.119923', '0.191862', '0.099427', '0.098388', '352.883']

** get_Rfile_ascii_table_params: lline: 168 ['145', '-1511.64', '69.66802615', '4', '4', '0.112388', '0.153509', '0.077701', '0.107753', '0.146990', '353.921']

** get_Rfile_ascii_table_params: lline: 169 ['146', '-1541.38', '-29.73563835', '4', '27', '0.134102', '0.132887', '0.143756', '0.119036', '0.095691', '352.961']

** get_Rfile_ascii_table_params: lline: 170 ['147', '-1626.45', '-85.07260518', '3', '25', '0.059685', '0.180026', '0.087492', '0.129695', '0.069165', '360.398']

** get_Rfile_ascii_table_params: lline: 171 ['148', '-1531.94', '94.50709418', '11', '4', '0.082517', '0.162626', '0.135422', '0.142582', '0.089287', '399.386']

** get_Rfile_ascii_table_params: lline: 172 ['149', '-1556.65', '-24.70628702', '24', '7', '0.101381', '0.141221', '0.145329', '0.110654', '0.041962', '404.212']

** get_Rfile_ascii_table_params: lline: 173 ['150', '-1552.22', '4.433950305', '22', '7', '0.082214', '0.133679', '0.169993', '0.157120', '0.132827', '360.46']

** get_Rfile_ascii_table_params: lline: 174 ['151', '-1543.37', '8.841334264', '26', '17', '0.119833', '0.114310', '0.145683', '0.136721', '0.082410', '339.833']

** get_Rfile_ascii_table_params: lline: 175 ['152', '-1598.26', '-54.88578627', '13', '31', '0.092263', '0.182292', '0.163421', '0.183604', '0.155718', '332.846']

** get_Rfile_ascii_table_params: lline: 176 ['153', '-1534.27', '63.99155464', '8', '7', '0.097842', '0.129185', '0.093450', '0.117348', '0.114754', '381.999']

** get_Rfile_ascii_table_params: lline: 177 ['154', '-1541.77', '-7.49885322', '14', '19', '0.080706', '0.098963', '0.135689', '0.102251', '0.070075', '343.862']

